Pos,Name,Point,Country
5,Williams-Mercedes,83,"United Kingdom"
9,McLaren-Honda,30,"United Kingdom"
1,Mercedes,668,Germany
2,Ferrari,522,Italy
1,Mercedes,668,Germany
2,Ferrari,522,Italy
3,"Red Bull Racing-TAG Heue",368,Austria
3,"Red Bull Racing-TAG Heue",368,Austria
4,"Force India-Mercedes",187,India
4,"Force India-Mercedes",187,India
6,Renault,57,France
6,Renault,57,France
5,Williams-Mercedes,83,"United Kingdom"
5,Williams-Mercedes,83,"United Kingdom"
8,Haas-Ferrari,47,USA
8,Haas-Ferrari,47,USA
9,McLaren-Honda,30,"United Kingdom"
9,McLaren-Honda,30,"United Kingdom"
6,Renault,57,France
10,Sauber-Ferrari,5,Switzerland
7,"Toro Rosso",53,Italy
10,Sauber-Ferrari,5,Switzerland
7,"Toro Rosso",53,Italy
10,Sauber-Ferrari,5,Switzerland
7,"Toro Rosso",53,Italy
