Name,Surname,Country
"Fernando ",Alonso,Spain
"Valtteri ",Bottas,Finland
"Jenson ",Button,"United Kingdom"
"Marcus ",Ericsson,Sweden
"Pierre ",Gasly,France
"Antonio ",Giovinazzi,Italy
"Romain ",Grosjean,France
"Lewis ",Hamilton,"United Kingdom"
"Brendon ",Hartley,"New Zealand"
"Nico ",Hülkenberg,Germany
"Daniil ",Kvyat,Russia
"Kevin ",Magnussen,Denmark
"Felipe ",Massa,Brasil
"Esteban ",Ocon,France
"Jolyon ",Palmer,"United Kingdom"
"Sergio ",Pérez,Mexican
"Kimi ",Räikkönen,Finland
"Paul di ",Resta,"United Kingdom"
"Daniel ",Ricciardo,Australia
"Carlos ","Sainz Jr.",Spain
"Lance ",Stroll,Canada
"Stoffel ",Vandoorne,Belgium
"Max ",Verstappen,Nederland
"Sebastian ",Vettel,Germany
"Pascal ",Wehrlein,Germany
